FileName,R1,G1,B1,Count1,R2,G2,B2,Count2,R3,G3,B3,Count3,R4,G4,B4,Count4,R5,G5,B5,Count5
Normal_24.jpg,111,101,104,75842,0,0,0,74821,79,60,59,44440,160,99,78,44292,237,134,82,22749
Normal_240.jpg,0,0,0,74252,101,92,92,63071,183,99,73,45134,140,80,60,43954,76,51,44,35733
Normal_25.jpg,106,84,75,80716,71,56,51,64085,0,0,0,56505,159,100,74,46175,215,129,83,14663
Normal_26.jpg,65,52,52,60169,154,99,80,57533,0,0,0,56290,106,74,65,46490,207,122,89,41662
Normal_27.jpg,0,0,0,76500,129,99,85,59835,180,128,101,49151,77,64,62,47383,246,186,125,29275
Normal_28.jpg,0,0,0,75591,115,100,96,57950,161,98,67,49920,233,133,71,41158,84,59,46,37525
Normal_29.jpg,0,0,0,74089,117,86,75,64567,74,54,47,55277,186,104,69,38121,243,148,81,30090
Normal_3.jpg,0,0,0,74206,110,114,122,65971,148,96,74,49959,232,133,74,41651,81,60,53,30357
Normal_30.jpg,0,0,0,75381,62,64,72,72822,108,97,98,67312,165,129,118,30169,239,188,151,16460
Normal_31.jpg,65,69,76,80473,0,0,0,75613,113,97,97,60545,162,123,112,30397,231,171,139,15116
Normal_32.jpg,133,81,65,64995,0,0,0,61171,81,54,45,52867,173,95,73,49838,221,105,77,33273
Normal_33.jpg,120,100,91,75975,0,0,0,59998,162,93,78,46754,85,65,58,43336,215,105,81,36081
Normal_34.jpg,0,0,0,75929,94,73,67,74421,55,44,45,45634,110,103,100,42622,185,103,66,23538
Normal_35.jpg,0,0,0,74205,153,114,105,71419,112,105,110,51875,86,70,69,41388,211,114,79,23257
Normal_36.jpg,54,47,42,78293,90,67,56,66023,0,0,0,56526,125,84,63,41623,164,103,71,19679
Normal_37.jpg,80,62,50,78932,52,44,37,58611,0,0,0,57223,112,71,47,34679,94,87,73,32699
Normal_38.jpg,0,0,0,59591,167,99,88,58780,209,115,100,51812,62,47,41,46368,118,76,68,45593
Normal_39.jpg,140,109,99,73210,195,104,87,65347,0,0,0,60365,123,80,68,36638,73,56,47,26584
Normal_4.jpg,0,0,0,74428,119,114,131,61092,124,99,101,47139,157,143,156,46674,89,76,87,32811
Normal_40.jpg,0,0,0,74337,137,113,116,54542,167,133,132,52199,99,92,103,51835,200,157,145,29231
Normal_41.jpg,0,0,0,75027,123,104,108,71416,153,144,148,46719,85,66,67,37783,170,111,90,31199
Normal_42.jpg,0,0,0,74575,238,151,112,62993,128,114,106,52294,177,152,139,44897,94,73,66,27385
Normal_43.jpg,0,0,0,75403,141,141,132,56797,244,170,132,52660,191,148,129,44232,110,90,83,33052
Normal_44.jpg,64,59,68,66119,0,0,0,56255,90,65,66,55993,48,45,53,43401,117,76,72,40376
Normal_45.jpg,88,58,55,68820,0,0,0,56445,72,66,74,55935,55,42,44,50463,123,68,55,30481
Normal_46.jpg,0,0,0,75328,144,105,106,54451,69,56,64,53266,170,162,175,50728,235,159,125,28371
Normal_47.jpg,0,0,0,75197,138,114,113,61983,112,98,102,48786,170,124,112,39194,90,78,81,36984
Normal_48.jpg,0,0,0,74596,113,101,69,65848,144,130,89,49400,72,68,48,45780,188,171,115,26520
Normal_49.jpg,66,59,65,86384,0,0,0,56332,45,38,42,56221,96,71,70,46985,149,92,73,16222
